#id	Date	Location	Scope	Seeing	Trans	Item	Time	Eyepiece	Mag	Notes	Sketch
20180506-01-venus	2018-05-06	Bellevue at home	Omni XLT 150	F	2	Venus	9:23	8mm	94x	Very bright, can't use high power since telescope not cooled. Can see that it's gibbous.	20180506-01-venus
20180511-01-m13	2018-05-11	Rattlesnake Lake Park	Omni XLT 150	VG	6	M 13	12:05	8mm	94x	Very large and bright. Generally spherical, but appears to have a few chains of stars coming out on the sides.	20180511-01-m13
20180523-01-epslyr	2018-05-23	Bellevue at home	Omni XLT 150	VG	3-	Epsilon Lyr/Double Double	10:30	5mm	150x	Doubles not cleanly split, especially epsilon1. However can see two pinpricks for epsilon2.	20180523-01-epslyr
20180523-02-moon	2018-05-23	Bellevue at home	Omni XLT 150	VG	3-	Anaxagoras, Epigenes, Birmingham	11:45	5mm	150x	Quick sketch of the edge of the moon as it was getting covered by a cloud.	20180523-02-moon
20180524-01-sigmacrb	2018-05-24	Bellevue at home	Omni XLT 150	VG	3	Sigma CrB	11:41	5mm	150x	Primary star looks a little yellower and seconary is whiter. Easily split. Could see two points with a 25mm eyepiece.	20180524-01-sigmacrb
20180524-02-jupiter	2018-05-24	Bellevue at home	Omni XLT 150	VG	3	Jupiter	12:03	5mm	150x	Two great bands. Can see some variability in thickness of the biggest one. Higher band seems broken into two spots.	20180524-02-jupiter
20180527-01-jupiter	2018-05-27	Bellevue at home	Omni XLT 150	G	3	Jupiter	11:45	5mm	150x	Moon closest to Jupiter has been moving up and away (SW). Can see 3 bands clearly, hints of a fourth.	20180527-01-jupiter
20180601-01-polaris 2018-06-01  Bellevue at home  Omni XLT 150  G 4 Polaris 11:01 5mm 150x  Secondary star is easily separated, but much dimmer. Compass directions are approximate based on the location of the diamond ring in the finderscope. 20180601-01-polaris
20180530-01-venus	2018-05-30	Bellevue at home	Omni XLT 150	P	0 (evening)	Venus	10:03	5mm	150x	No detail, just a white gibbous disc. Can see some chromatic abberation -- top is red, bottom is violet.	20180530-01-venus
20180530-02-m53	2018-05-30	Bellevue at home	Omni XLT 150	P	3-	M 53	10:47	5mm	150x	Just a gray patch, slightly brighter in the center	20180530-02-m53
20180530-03-jupiter	2018-05-30	Bellevue at home	Omni XLT 150	P	3-	Jupiter	10:58	5mm	150x	Surprisingly clear, given that I was looking through a cloud! Can see two large bands, bottom band looks darker, and another faint band near the top.	20180530-03-jupiter
20180601-01-polaris	2018-06-01	Bellevue at home	Omni XLT 150	G	4	Polaris	11:01	5mm	150x	Secondary star is easily separated, but much dimmer. Compass directions are approximate based on the location of the diamond ring in the finderscope.	20180601-01-polaris
20180601-02-jupiter	2018-06-01	Bellevue at home	Omni XLT 150	G	4	Jupiter	11:30	5mm	150x	Moons 1,4 are the brightest, 3 next, 4 is dimmest. All perfectly in a line. Can see different darknesses within the bands.	20180601-02-jupiter
20180601-03-m29	2018-06-01	Bellevue at home	Omni XLT 150	G	4	M 29/Cooling Tower	12:15	12mm	63x	Small cluster of 7 brighter stars, with a few more dim ones. Not much concentration, rather sparse. Other stars outside this view are much brighter.	20180601-03-m29
20180606-01-venus	2018-06-06	Bellevue at home	Omni XLT 150	G	0 (evening)	Venus	9:43	5mm	150x	Nice clear gibbous shape. Can see the dark side in shadow.	20180606-01-venus
20180606-02-jupiter	2018-06-06	Bellevue at home	Omni XLT 150	P	0 (clouds)	Jupiter	11:44	5mm	150x	Jupiter visible through the clouds, bands still visible.	20180606-02-jupiter
20180611-01-mizaralcor	2018-06-11	Bellevue at home	Omni XLT 150	G	3	Mizar and Alcor	11:53	8mm	94x	Nice bright stars. All white. Classic.	20180611-01-mizaralcor
20180611-02-m5	2018-06-11	Bellevue at home	Omni XLT 150	G	3	M 5/Rose Cluster	12:18	5mm	150x	LP is bad enough tthat this is just a fuzzy with direct vision. But averted vision gives lots of stars and detail. Amazing!	20180611-02-m5
20180611-03-m12	2018-06-11	Bellevue at home	Omni XLT 150	G	3	M 12	12:30	5mm	150x	(Compared to M 5) Much fainter. Stars seem more distinct, not as dense.	20180611-03-m12
20180611-04-m57	2018-06-11	Bellevue at home	Omni XLT 150	G	3	M 57/Ring nebula	12:47	5mm	150x	Fairly bright ring. Inside the ring might be slightly brighter than outside.	20180611-04-m57
20180611-05-jupiter	2018-06-11	Bellevue at home	Omni XLT 150	F	3	Jupiter	1:12	5mm	150x	Super bright! Can see two main bands and part of a third.	20180611-05-jupiter
20180611-06-saturn	2018-06-11	Bellevue at home	Omni XLT 150	F	3	Saturn	1:35	5mm	150x	Beige color. Outside of rings are darker. Hint of the Cassini division.	20180611-06-saturn
20180614-01-m23vesta	2018-06-14	Bellevue at home	Omni XLT 150	G	3	M 23, Vesta	11:32	20mm	38x	M23 - Loose stars, not really any brighter in the center. Vesta - bright (brighter than the rest of the stars), slightly yellow color. Easily seen in the 9x50 finderscope, but not naked eye.	20180614-01-m23vesta
20180616-01-venus	2018-06-16	Bellevue at home	Omni XLT 150	G	0 (day)	Venus	7:17	5mm	150x	Can see darker shades (twilight?) towards the edge of the lit side.	20180616-01-venus
20180616-02-m4	2018-06-16	Rattlesnake Lake Park	Omni XLT 150	P	7	M 4/Crab Globular Cluster	11:55	5mm	150x	Somewhat dim. Fairly large. Easy to see lots of stars. Center is brighter, seems like a line of stars through the center.	20180616-02-m4
20180616-03-m107	2018-06-16	Rattlesnake Lake Park	Omni XLT 150	P	7	M 107/Crucifix Cluster	12:08	5mm	150x	Quite faint. Mostly need averted vision to see anything. Slightly brighter core. Can resolve some stars.	20180616-03-m107
20180616-04-m24	2018-06-16	Rattlesnake Lake Park	Omni XLT 150	P	7	M 24	12:50	24mm	31x	Wow. This is like the Pleiades -- lots of bright stars scattered, no concentration. Need bigger FOV to fully take this in! Only brighter stars drawn here. Background looks like the milky way through binoculars.	20180616-04-m24
20180616-05-m28	2018-06-16	Rattlesnake Lake Park	Omni XLT 150	P	7	M 28	1:05	8mm	94x	Small globular. Can't resolve any stars. Brighter in the center.	20180616-05-m28
20180616-06-m22	2018-06-16	Rattlesnake Lake Park	Omni XLT 150	P	7	M 22	1:14	8mm	94x	Very big, bright. Can resolve lots of stars. Surrounded by a nice ring of stars. Lots more fainter stars, but covered in a cloud before could fill in a more detailed sketch.	20180616-06-m22
20180616-07-m8	2018-06-16	Rattlesnake Lake Park	Omni XLT 150	P	7	M 8/Lagoon Nebula	1:47	20mm	38x	Nice open cluster of stars. Lots of nebulosity, esp in binoculars. Was going to pack things up until I saw this.	20180616-07-m8
20180626-01-venus	2018-06-26	Bellevue at home	Omni XLT 150	P	0 (dusk)	Venus	9:26	5mm	150x	Drawn larger.  Can see the terminator is a shade darker than the lit side.	20180626-01-venus
20180702-01-saturn	2018-07-02	Bellevue at home	Omni XLT 150	F	3	Saturn	11:24	5mm	150x	Very bright. Outer part of rings are dimmer. Almost seems like a belt across saturn. Can see the shadow of the rings on Saturn.  T: Titan. R: Rhea. I: Iapetus	20180702-01-saturn
20180702-02-m25	2018-07-02	Bellevue at home	Omni XLT 150	F	3	M 25	11:47	18mm	42x	Crips open cluster. Seems to have a small concentration of stars in the bottom middle of the "W"	20180702-02-m25
20180702-03-m18	2018-07-02	Bellevue at home	Omni XLT 150	F	3	M 18	12:06	12mm	63x	Hard to tell where the boundary of this cluster is. Nice pentagon in the middle. Curious if there would be lots more stars in a darker sky; I don't see many really faint ones.	20180702-03-m18
20180702-04-m21	2018-07-02	Bellevue at home	Omni XLT 150	F	3	M 21/Webb's Cross	12:23	8mm	94x	Slight concentration of stars near the center.	20180702-04-m21
20180707-01-m92	2018-07-07	Bellevue at home	Omni XLT 150	G	3	M 92	12:20	5mm	150x	Quite bright; core is the brightest. Can't resolve any stars distinctly, but it has a speckled appearance. With averted vision.  Can see some stars at the edge.	20180707-01-m92
20180707-02-mars	2018-07-07	Bellevue at home	Omni XLT 150	G	3	Mars	1:04	5mm	150x	Super bright orange. Very large. Not much detail.  Can see a whiter area on the N pole and a slightly darker area towards the south.	20180707-02-mars
20180711-01-ngc6210	2018-07-11	Bellevue at home	Omni XLT 150	G	3	NGC 6210/Turtle Planetary Nebula	11:45	8mm	94x	A: visually looks like it might be a planetary nebula. Seems brighter and with averted vision sometimes see a small disc around it.  B: position seems more correct, but looks sharper, more star-like. [Yes, confirmed with Stellarium that A is the PN.]	20180711-01-ngc6210
20180711-02-ic4756	2018-07-11	Bellevue at home	Omni XLT 150	G	3	IC 4756/Graff's Cluster	12:08	25mm	30x	Lots of stars. No concentration. Very pretty. :)	20180711-02-ic4756
20180711-03-ngc6633	2018-07-11	Bellevue at home	Omni XLT 150	G	3	NGC 6633	12:24	20mm	38x	Very spread out; stars have very different magnitudes	20180711-03-ngc6633
20180711-04-m11	2018-07-11	Bellevue at home	Omni XLT 150	G	3	M 11/Wild Duck Cluster	12:43	5mm	150x	Lots of fairly faint stars -- too many to draw accurately. At lower powers this looks like a faint globular.	20180711-04-m11
20180711-05-m10	2018-07-11	Bellevue at home	Omni XLT 150	G	3	M 10	1:16	5mm	150x	Very dim. Stars resolve with averted vision, with direct vision it's just a lighter gray patch	20180711-05-m10
20180711-06-m9	2018-07-11	Bellevue at home	Omni XLT 150	G	3	M 9	1:29	5mm	150x	Very faint gray patch. Hint of some stars with averted vision.  Have to shake the telescope to find this. Slight brighter in the core.	20180711-06-m9
20180712-01-m19	2018-07-12	Bellevue at home	Omni XLT 150	G	3	M 19	11:05	8mm	94x	Mostly just a faint smudge. Can see hints of stars with averted vision.	20180712-01-m19
20180712-02-m80	2018-07-12	Bellevue at home	Omni XLT 150	G	3	M 80	11:21	8mm	94x	Very small, bright core. However with averted vision can see it's quite large and diffuse at the edges. I like this one! :)	20180712-02-m80
20180712-03-betasco	2018-07-12	Bellevue at home	Omni XLT 150	G	3	Beta Sco	11:29	8mm	94x	Both stars are bright white. Primary is quite bright. Easy split.	20180712-03-betasco
20180712-04-m28	2018-07-12	Bellevue at home	Omni XLT 150	G	3	M 28	11:41	8mm	94x	Brighter core. Only the faintest hint of any stars with averted vision; mostly a smudge.	20180712-04-m28
20180712-05-m8	2018-07-12	Bellevue at home	Omni XLT 150	G	3	M 8/Lagoon Nebula	11:49	8mm	94x	Nice open cluster; a few bright stars and many very faint ones. Some slight nebulosity visible next to the star on the left.  Not as impressive as at the darker site, but still pretty cool.	20180712-05-m8
20180712-06-m21	2018-07-12	Bellevue at home	Omni XLT 150	G	3	M 21/Webb's Cross	11:59	8mm	94x	Very open cluster. Not too many stars.	20180712-06-m21
20180712-07-m20	2018-07-12	Bellevue at home	Omni XLT 150	G	3	M 20/Trifid Nebula	12:05	8mm	94x	Looks mostly like an open cluster. Possibly the faintest hint of nebulosity around the double star ear the center; the area is just slightly brighter.	20180712-07-m20
20180712-08-m71	2018-07-12	Bellevue at home	Omni XLT 150	G	3	M 71/Angelfish Cluster	12:25	8mm	94x	Very faint. Core is not much brighter than the edges. Can see some stars with averted vision. Many faint stars everywhere in the field; too many to sketch	20180712-08-m71
20180712-09-m27	2018-07-12	Bellevue at home	Omni XLT 150	G	3	M 27/Dumbbell Nebula	12:36	8mm	94x	Modestly bright blurry patch. A bit squarish with a piece taken out on the side. Very nice. :)	20180712-09-m27
20180713-01-m14	2018-07-13	Bellevue at home	Omni XLT 150	G	3	M 14	11:41	8mm	94x	Very faint blur. Can't resolve any stars. hard to see, even after aming right at it.	20180713-01-m14
20180713-02-ic4665	2018-07-13	Bellevue at home	Omni XLT 150	G	3	IC 4665/Summer Beehive Cluster	11:52	25mm	30x	Nice geometric patterns white stars well-spaced.	20180713-02-ic4665
20180714-01-mercury	2018-07-14	Bellevue at home	Omni XLT 150	P	0 (dusk)	Mercury	9:15 PM	5mm	150x	Very small crescent. Very blurry. Can only be seen with the telescope; can't even see with 10x50 finder. Mercery is close to the moon tonight. I used that to locate it.	20180714-01-mercury
